Software,No.,Model,neg LnL,df,AIC,AICc,∆AIC,∆AICc
selac,1,SELAC+G,453620.8,50005,1007252,1027314,0,0
selac,2,SELAC,464114.8,50004,1028238,1050286,20986,22972
selac,3,SELAC+majrule+G,465302.4,50005,1056613,1076674,49361,49360
selac,4,FMutSel,597140.7,178,1194637,1194638,187385,167324
IQTree,143,KOSI07+F+R10,598030.6,87,1196235,1196236,188983,168922
IQTree,142,KOSI07+F+R9,598325.9,85,1196822,1196822,189570,169508
IQTree,141,KOSI07+F+R8,598608.7,83,1197383,1197384,190131,170070
IQTree,140,KOSI07+F+R7,598939.5,81,1198041,1198041,190789,170727
IQTree,86,GY+F+R5,599010.2,79,1198178,1198179,190926,170865
IQTree,85,GY+F+R4,599017.1,77,1198188,1198188,190936,170874
IQTree,84,GY+F+R3,599091.8,75,1198334,1198334,191082,171020
IQTree,139,KOSI07+F+R6,599336.8,79,1198832,1198832,191580,171518
IQTree,83,GY+F+R2,599662.3,73,1199471,1199471,192219,172157
IQTree,138,KOSI07+F+R5,599854,77,1199862,1199862,192610,172548
IQTree,137,KOSI07+F+R4,600571.7,75,1201293,1201294,194041,173980
IQTree,81,GY+F+G4,600946.3,72,1202037,1202037,194785,174723
IQTree,82,GY+F+I+G4,600946.8,73,1202040,1202040,194788,174726
IQTree,195,SCHN05+F+R10,601260,87,1202694,1202694,195442,175380
IQTree,136,KOSI07+F+R3,601537.9,73,1203222,1203222,195970,175908
IQTree,194,SCHN05+F+R9,602115.9,85,1204402,1204402,197150,177088
IQTree,135,KOSI07+F+R2,603127.6,71,1206397,1206397,199145,179083
IQTree,193,SCHN05+F+R8,603279.7,83,1206725,1206726,199473,179412
IQTree,133,KOSI07+F+G4,604152.2,70,1208444,1208445,201192,181131
IQTree,134,KOSI07+F+I+G4,604152.1,71,1208446,1208446,201194,181132
IQTree,192,SCHN05+F+R7,604738.6,81,1209639,1209639,202387,182325
IQTree,129,KOSI07+F3X4+R9,605979.1,34,1212026,1212026,204774,184712
IQTree,47,MGK+F3X4+R5,606032.5,28,1212121,1212121,204869,184807
IQTree,46,MGK+F3X4+R4,606037.3,26,1212127,1212127,204875,184813
IQTree,45,MGK+F3X4+R3,606057.4,24,1212163,1212163,204911,184849
IQTree,73,GY+F3X4+R5,606154.2,28,1212364,1212364,205112,185050
IQTree,74,GY+F3X4+R6,606152.6,30,1212365,1212365,205113,185051
IQTree,72,GY+F3X4+R4,606181.2,26,1212414,1212414,205162,185100
IQTree,71,GY+F3X4+R3,606211.9,24,1212472,1212472,205220,185158
IQTree,191,SCHN05+F+R6,606180.8,79,1212520,1212520,205268,185206
IQTree,128,KOSI07+F3X4+R8,606322,32,1212708,1212708,205456,185394
IQTree,127,KOSI07+F3X4+R7,606913,30,1213886,1213886,206634,186572
IQTree,44,MGK+F3X4+R2,606960.3,22,1213965,1213965,206713,186651
IQTree,182,SCHN05+F3X4+R10,607041.7,36,1214155,1214155,206903,186841
IQTree,70,GY+F3X4+R2,607142.7,22,1214329,1214329,207077,187015
IQTree,190,SCHN05+F+R5,607189.6,77,1214533,1214534,207281,187220
IQTree,181,SCHN05+F3X4+R9,607252.5,34,1214573,1214573,207321,187259
IQTree,126,KOSI07+F3X4+R6,607320.6,28,1214697,1214697,207445,187383
IQTree,130,KOSI07+F3X4+R10,607370.2,36,1214812,1214812,207560,187498
IQTree,180,SCHN05+F3X4+R8,607637.7,32,1215339,1215339,208087,188025
IQTree,42,MGK+F3X4+G4,607661.7,21,1215365,1215365,208113,188051
IQTree,43,MGK+F3X4+I+G4,607663,22,1215370,1215370,208118,188056
IQTree,80,GY+F+I,607640.1,72,1215424,1215424,208172,188110
IQTree,68,GY+F3X4+G4,607742.7,21,1215527,1215527,208275,188213
IQTree,69,GY+F3X4+I+G4,607743.7,22,1215531,1215531,208279,188217
IQTree,125,KOSI07+F3X4+R5,607828.6,26,1215709,1215709,208457,188395
IQTree,189,SCHN05+F+R4,607792.2,75,1215734,1215735,208482,188421
IQTree,179,SCHN05+F3X4+R7,608418.3,30,1216897,1216897,209645,189583
IQTree,188,SCHN05+F+R3,608415.5,73,1216977,1216977,209725,189663
IQTree,124,KOSI07+F3X4+R4,608554.1,24,1217156,1217156,209904,189842
IQTree,79,GY+F,608565.4,71,1217273,1217273,210021,189959
IQTree,61,GY+F1X4+R6,608839.1,24,1217726,1217726,210474,190412
IQTree,60,GY+F1X4+R5,608842.1,22,1217728,1217728,210476,190414
IQTree,59,GY+F1X4+R4,608866.1,20,1217772,1217772,210520,190458
IQTree,34,MGK+F1X4+R5,608878.8,22,1217802,1217802,210550,190488
IQTree,33,MGK+F1X4+R4,608883.4,20,1217807,1217807,210555,190493
IQTree,58,GY+F1X4+R3,608888.7,18,1217813,1217813,210561,190499
IQTree,32,MGK+F1X4+R3,608907.4,18,1217851,1217851,210599,190537
IQTree,187,SCHN05+F+R2,609165.1,71,1218472,1218472,211220,191158
IQTree,123,KOSI07+F3X4+R3,609569,22,1219182,1219182,211930,191868
IQTree,178,SCHN05+F3X4+R6,609686.9,28,1219430,1219430,212178,192116
IQTree,57,GY+F1X4+R2,609813.3,16,1219659,1219659,212407,192345
IQTree,31,MGK+F1X4+R2,609820.2,16,1219672,1219672,212420,192358
IQTree,185,SCHN05+F+G4,610130.6,70,1220401,1220401,213149,193087
IQTree,186,SCHN05+F+I+G4,610130.6,71,1220403,1220403,213151,193089
IQTree,55,GY+F1X4+G4,610206.8,15,1220444,1220444,213192,193130
IQTree,56,GY+F1X4+I+G4,610207.6,16,1220447,1220447,213195,193133
IQTree,29,MGK+F1X4+G4,610272.5,15,1220575,1220575,213323,193261
IQTree,30,MGK+F1X4+I+G4,610273.9,16,1220580,1220580,213328,193266
IQTree,132,KOSI07+F+I,610256.5,70,1220653,1220653,213401,193339
IQTree,115,KOSI07+F1X4+R8,610601.5,26,1221255,1221255,214003,193941
IQTree,131,KOSI07+F,611155.1,69,1222448,1222448,215196,195134
IQTree,114,KOSI07+F1X4+R7,611353.4,24,1222755,1222755,215503,195441
IQTree,177,SCHN05+F3X4+R5,611498,26,1223048,1223048,215796,195734
IQTree,113,KOSI07+F1X4+R6,611809.1,22,1223662,1223662,216410,196348
IQTree,122,KOSI07+F3X4+R2,611864.5,20,1223769,1223769,216517,196455
IQTree,23,MG+F3X4+R7,612289.9,31,1224642,1224642,217390,197328
IQTree,24,MG+F3X4+R8,612289.3,33,1224645,1224645,217393,197331
IQTree,112,KOSI07+F1X4+R5,612311.1,20,1224662,1224662,217410,197348
IQTree,22,MG+F3X4+R6,612312.7,29,1224683,1224683,217431,197369
IQTree,21,MG+F3X4+R5,612335.5,27,1224725,1224725,217473,197411
IQTree,20,MG+F3X4+R4,612355.1,25,1224760,1224760,217508,197446
IQTree,19,MG+F3X4+R3,612368.6,23,1224783,1224783,217531,197469
selac,5,GY94,612670.4,111,1225563,1225563,218311,198249
IQTree,120,KOSI07+F3X4+G4,612932.4,19,1225903,1225903,218651,198589
IQTree,121,KOSI07+F3X4+I+G4,612932.3,20,1225905,1225905,218653,198591
IQTree,169,SCHN05+F1X4+R10,612981.9,30,1226024,1226024,218772,198710
IQTree,111,KOSI07+F1X4+R4,612994.7,18,1226025,1226026,218773,198712
IQTree,18,MG+F3X4+R2,613158.9,21,1226360,1226360,219108,199046
IQTree,41,MGK+F3X4+I,613206,21,1226454,1226454,219202,199140
IQTree,116,KOSI07+F1X4+R9,613258.9,28,1226574,1226574,219322,199260
IQTree,168,SCHN05+F1X4+R9,613319.8,28,1226696,1226696,219444,199382
IQTree,176,SCHN05+F3X4+R4,613713,24,1227474,1227474,220222,200160
IQTree,167,SCHN05+F1X4+R8,613816.9,26,1227686,1227686,220434,200372
IQTree,16,MG+F3X4+G4,613853.6,20,1227747,1227747,220495,200433
IQTree,17,MG+F3X4+I+G4,613855.7,21,1227753,1227753,220501,200439
IQTree,100,KOSI07+FU+R6,614271.6,19,1228581,1228581,221329,201267
IQTree,99,KOSI07+FU+R5,614453.8,17,1228942,1228942,221690,201628
IQTree,67,GY+F3X4+I,614457.3,21,1228957,1228957,221705,201643
IQTree,166,SCHN05+F1X4+R7,614535.3,24,1229119,1229119,221867,201805
IQTree,110,KOSI07+F1X4+R3,614555.8,16,1229144,1229144,221892,201830
IQTree,40,MGK+F3X4,614642.3,20,1229325,1229325,222073,202011
IQTree,101,KOSI07+FU+R7,614771.8,21,1229586,1229586,222334,202272
IQTree,165,SCHN05+F1X4+R6,615584.2,22,1231212,1231212,223960,203898
IQTree,7,MG+F1X4+R4,615589.7,19,1231217,1231217,223965,203903
IQTree,6,MG+F1X4+R3,615595.7,17,1231225,1231225,223973,203911
IQTree,28,MGK+F1X4+I,615826,15,1231682,1231682,224430,204368
IQTree,66,GY+F3X4,615826.8,20,1231694,1231694,224442,204380
IQTree,98,KOSI07+FU+R4,615915.8,15,1231862,1231862,224610,204548
IQTree,175,SCHN05+F3X4+R3,616066.8,22,1232178,1232178,224926,204864
IQTree,54,GY+F1X4+I,616171,15,1232372,1232372,225120,205058
IQTree,5,MG+F1X4+R2,616483.4,15,1232997,1232997,225745,205683
IQTree,3,MG+F1X4+G4,616886.6,14,1233801,1233801,226549,206487
IQTree,4,MG+F1X4+I+G4,616889,15,1233808,1233808,226556,206494
IQTree,164,SCHN05+F1X4+R5,617068.2,20,1234176,1234176,226924,206862
IQTree,97,KOSI07+FU+R3,617300,13,1234626,1234626,227374,207312
IQTree,27,MGK+F1X4,617350.8,14,1234730,1234730,227478,207416
IQTree,53,GY+F1X4,617743.6,14,1235515,1235515,228263,208201
IQTree,119,KOSI07+F3X4+I,618071.7,19,1236181,1236182,228929,208868
IQTree,163,SCHN05+F1X4+R4,618973.8,18,1237984,1237984,230732,210670
IQTree,15,MG+F3X4+I,619181.6,20,1238403,1238403,231151,211089
IQTree,118,KOSI07+F3X4,619604,18,1239244,1239244,231992,211930
IQTree,109,KOSI07+F1X4+R2,619778.6,14,1239585,1239585,232333,212271
IQTree,184,SCHN05+F+I,619825.9,70,1239792,1239792,232540,212478
