Fasta ID	Cgla_Microarray	Scas_Microarray	Scer_RNA	Smik_RNA	Spar_RNA	Psi_gamma	Psi_nogamma	functionality_Scer_wG	functionality_Spar_wG	functionality_Smik_wG	functionality_Skud_wG	functionality_Scas_wG	functionality_Cgla_wG
9	0.034421363	0.080502049	0.543544883	331	11.68542812	0.314061607	0.145967781	0.764552239	0.780380175	0.77744406	0.762660617	0.69824141	0.850759274
18	1.048870718	1.315699115	4.389464827	2517	262.8714247	0.917106103	0.396792903	0.986646091	0.987270955	0.984727177	0.987242194	0.935676827	0.940198165
45	1.064757079	0.698186117	0.874371132	686	106.0760974	0.609535218	0.275972094	0.950528882	0.947967999	0.94740255	0.938088167	0.860862234	0.927881817
53	1.04118454	0.618146169	3.01661404	2349	194.5206263	0.376607138	0.172785874	0.828174067	0.839333487	0.815092589	0.802332803	0.694237488	0.684656794
82	0.090644227	0.187422054	1.446070654	878	56.55864793	0.476166846	0.235815354	0.912010616	0.912010616	0.900793416	0.904294948	0.772243728	0.707584178
125	0.185712771	0.678887155	1.380742706	158	29.80882085	0.382741892	0.169707387	0.833702136	0.824788574	0.826739651	0.8152056	0.711067996	0.709260843
240	0.532812279	0.334572292	1.772093873	1070	197.426143	0.788357551	0.362381678	0.958804563	0.960871558	0.950229478	0.956655518	0.917938786	0.899768525
1001	0.06501574	0.069262895	0.323831576	44	13.6907718	0.363693082	0.163886682	0.871848591	0.866169757	0.846271694	0.844387046	0.696206663	0.821162943
1479	0.388229907	0.706540071	1.718812773	1022	74.95800806	0.410927187	0.205327333	0.860496186	0.862328797	0.848009847	0.859257478	0.785797069	0.916323192
1518	0.355119771	0.259065479	0.446469853	170	56.34865825	0.405391864	0.196555338	0.826213996	0.831506018	0.825113084	0.819018242	0.759050021	0.692395578
1561	0.128520415	0.188317435	0.400490653	12	26.03326952	0.356349627	0.176951236	0.858755342	0.873014067	0.864246871	0.850832684	0.718979294	0.74278744
1644	0.255817962	0.354462521	0.499789649	1207	135.6463812	0.473326811	0.223968248	0.873578697	0.870356943	0.885414332	0.865199565	0.841854841	0.829867754
1666	0.110852549	0.089988738	0.247434787	155	14.57812245	0.504914793	0.222334466	0.937585342	0.933584662	0.932178759	0.923875665	0.766469848	0.841942925
1678	0.115237196	0.173409364	1.185836457	736	18.35724612	0.605985308	0.291158394	0.934244131	0.929165715	0.910948259	0.922377306	0.882093951	0.829857651
