Fasta ID	Cgla_Microarray	Scas_Microarray	Scer_RNA	Smik_RNA	Spar_RNA	Psi_gamma	Psi_nogamma	functionality_Scer_wG	functionality_Spar_wG	functionality_Smik_wG	functionality_Skud_wG	functionality_Scas_wG	functionality_Cgla_wG	ROC_Scer	ROC_Spar	ROC_Smik	ROC_Skud	ROC_Scas	ROC_Cgla	Omega
9	0.034421363	0.080502049	0.543544883	331	11.68542812	0.314061607	0.145967781	0.895289384	0.902670026	0.897945774	0.895390291	0.831986604	0.737569475	0.131746033	0.223549759	0.355110016	0.138086426	0.320030975	0.750704712	0.184664708
18	1.048870718	1.315699115	4.389464827	2517	262.8714247	0.917106103	0.396792903	0.995362126	0.995580971	0.994688937	0.995570902	0.97024519	0.948719165	2.465975586	3.136969238	3.232681641	2.686770264	2.588416992	2.226854492	0.015784036
45	1.064757079	0.698186117	0.874371132	686	106.0760974	0.609535218	0.275972094	0.981749217	0.980807098	0.980598634	0.977141506	0.941153921	0.915055939	1.660658569	2.044881714	1.779825562	1.482405518	NA	1.584571533	0.034880157
53	1.04118454	0.618146169	3.01661404	2349	194.5206263	0.376607138	0.172785874	0.914819054	0.921186142	0.909553949	0.900880621	0.834520833	0.716880462	1.016042725	1.500753784	1.902582642	0.263814972	1.83269519	1.405126099	0.140407813
82	0.090644227	0.187422054	1.446070654	878	56.55864793	0.476166846	0.235815354	0.956588648	0.956588648	0.952499351	0.952079156	0.880908108	0.71906603	0.38342096	0.606582031	0.669519287	0.703910156	0.30166922	1.174639771	0.07606286
125	0.185712771	0.678887155	1.380742706	158	29.80882085	0.382741892	0.169707387	0.925401186	0.921512247	0.92226516	0.918142347	0.842676803	0.773401472	1.037814087	1.580665283	1.585482422	1.437349976	1.320240967	1.015623291	0.120204064
240	0.532812279	0.334572292	1.772093873	1070	197.426143	0.788357551	0.362381678	0.985424179	0.986174785	0.982287771	0.984641557	0.96809301	0.902044939	1.331520264	1.786630249	1.756598389	1.419545288	1.657120361	1.229494019	0.025108615
1001	0.06501574	0.069262895	0.323831576	44	13.6907718	0.363693082	0.163886682	0.94776468	0.946169026	0.937876192	0.937078214	0.859112508	0.806913844	0.250590546	0.316040588	0.300242249	0.346475861	0.188047348	0.164943329	0.109647364
1479	0.388229907	0.706540071	1.718812773	1022	74.95800806	0.410927187	0.205327333	0.941939762	0.941703213	0.933880878	0.939192255	0.890181395	0.863301266	1.208584717	1.736512573	1.862079834	1.22075	1.470369751	1.659676025	0.076906902
1518	0.355119771	0.259065479	0.446469853	170	56.34865825	0.405391864	0.196555338	0.915699965	0.9177639	0.915036583	0.912576345	0.877303798	0.709749488	0.60576294	0.786547241	0.500151581	0.774422913	0.683952576	0.371990845	0.114045111
