Fasta ID	Cgla_Microarray	Scas_Microarray	Scer_RNA	Smik_RNA	Spar_RNA	Psi_gamma	Psi_nogamma	functionality_Scer_wG	functionality_Spar_wG	functionality_Smik_wG	functionality_Skud_wG	functionality_Scas_wG	functionality_Cgla_wG	ROC_Scer	ROC_Spar	ROC_Smik	ROC_Skud	ROC_Scas	ROC_Cgla	Omega
9	0.034421363	0.080502049	0.543544883	331	11.68542812	0.314061607	0.145967781	0.764552239	0.780380175	0.77744406	0.762660617	0.69824141	0.850759274	0.131746033	0.223549759	0.355110016	0.138086426	0.320030975	0.750704712	0.184664708
18	1.048870718	1.315699115	4.389464827	2517	262.8714247	0.917106103	0.396792903	0.986646091	0.987270955	0.984727177	0.987242194	0.935676827	0.940198165	2.465975586	3.136969238	3.232681641	2.686770264	2.588416992	2.226854492	0.015784036
45	1.064757079	0.698186117	0.874371132	686	106.0760974	0.609535218	0.275972094	0.950528882	0.947967999	0.94740255	0.938088167	0.860862234	0.927881817	1.660658569	2.044881714	1.779825562	1.482405518	NA	1.584571533	0.034880157
53	1.04118454	0.618146169	3.01661404	2349	194.5206263	0.376607138	0.172785874	0.828174067	0.839333487	0.815092589	0.802332803	0.694237488	0.684656794	1.016042725	1.500753784	1.902582642	0.263814972	1.83269519	1.405126099	0.140407813
82	0.090644227	0.187422054	1.446070654	878	56.55864793	0.476166846	0.235815354	0.912010616	0.912010616	0.900793416	0.904294948	0.772243728	0.707584178	0.38342096	0.606582031	0.669519287	0.703910156	0.30166922	1.174639771	0.07606286
125	0.185712771	0.678887155	1.380742706	158	29.80882085	0.382741892	0.169707387	0.833702136	0.824788574	0.826739651	0.8152056	0.711067996	0.709260843	1.037814087	1.580665283	1.585482422	1.437349976	1.320240967	1.015623291	0.120204064
240	0.532812279	0.334572292	1.772093873	1070	197.426143	0.788357551	0.362381678	0.958804563	0.960871558	0.950229478	0.956655518	0.917938786	0.899768525	1.331520264	1.786630249	1.756598389	1.419545288	1.657120361	1.229494019	0.025108615
1001	0.06501574	0.069262895	0.323831576	44	13.6907718	0.363693082	0.163886682	0.871848591	0.866169757	0.846271694	0.844387046	0.696206663	0.821162943	0.250590546	0.316040588	0.300242249	0.346475861	0.188047348	0.164943329	0.109647364
1479	0.388229907	0.706540071	1.718812773	1022	74.95800806	0.410927187	0.205327333	0.860496186	0.862328797	0.848009847	0.859257478	0.785797069	0.916323192	1.208584717	1.736512573	1.862079834	1.22075	1.470369751	1.659676025	0.076906902
1518	0.355119771	0.259065479	0.446469853	170	56.34865825	0.405391864	0.196555338	0.826213996	0.831506018	0.825113084	0.819018242	0.759050021	0.692395578	0.60576294	0.786547241	0.500151581	0.774422913	0.683952576	0.371990845	0.114045111
1561	0.128520415	0.188317435	0.400490653	12	26.03326952	0.356349627	0.176951236	0.858755342	0.873014067	0.864246871	0.850832684	0.718979294	0.74278744	0.261708527	0.637303284	0.343314789	0.29623465	0.191297607	0.236834534	0.109605571
1644	0.255817962	0.354462521	0.499789649	1207	135.6463812	0.473326811	0.223968248	0.873578697	0.870356943	0.885414332	0.865199565	0.841854841	0.829867754	0.967803589	1.40206665	0.97833667	1.239370972	0.619826782	1.44596106	0.070422154
1666	0.110852549	0.089988738	0.247434787	155	14.57812245	0.504914793	0.222334466	0.937585342	0.933584662	0.932178759	0.923875665	0.766469848	0.841942925	0.123850021	0.219964539	0.222813019	0.200015808	0.200883469	0.806494751	0.060043334
1678	0.115237196	0.173409364	1.185836457	736	18.35724612	0.605985308	0.291158394	0.934244131	0.929165715	0.910948259	0.922377306	0.882093951	0.829857651	1.368268799	2.037730713	1.631126953	0.304761475	1.497765747	0.953831787	0.045933446
1706	0.101183321	0.389691126	0.65592161	216	48.92703958	0.420772873	0.190445137	0.845178026	0.856414124	0.84231643	0.8418547	0.81676121	0.844004276	0.211011231	0.283700348	0.243978836	3.102279785	0.289546082	0.441878662	0.103856922
1801	0.119645658	0.243780601	1.089673731	309	70.9270005	0.595048757	0.290493162	0.957608872	0.940948471	0.942355608	0.915334156	0.869597094	0.883320486	0.347440918	0.502016022	0.632318115	0.341148438	0.485338959	0.355974304	0.037727048
1807	0.107376193	0.074039519	0.812823683	689	24.20465197	0.336884942	0.165746555	0.807204186	0.79690552	0.790345046	0.791535069	0.741008274	0.708354917	0.287722321	0.348555481	0.345120575	0.375879974	0.277686523	0.232278549	0.144514526
1810	0.146940278	0.483271576	0.340759223	183	NA	0.333337867	0.156264311	0.771581909	0.775717654	0.772941026	0.77402514	0.707304548	0.705408166	0.512455078	0.834416138	0.833307617	0.770196716	0.606560547	0.322992065	0.160508198
1837	0.41117841	0.438928467	0.471243278	488	59.04843267	0.317897447	0.149300329	0.778932134	0.782625317	0.779581692	0.766607657	0.687937646	0.712751273	0.329138123	0.709812683	0.796678101	0.388529358	0.433207459	0.455279327	0.161696741
1886	0.345573683	0.843940628	3.850950815	782	93.61237173	0.631213036	0.291170223	0.949933695	0.941496428	0.939283857	0.936687273	0.847794134	0.915985417	2.588354492	2.850792969	2.681373779	2.269987549	1.982841431	2.066232666	0.029834509
1904	0.085966043	0.113893635	0.192055871	49	11.88923618	0.477476594	0.210171821	0.915449993	0.920165902	0.915813145	0.908886779	0.978952213	0.863998368	0.109829201	0.423118683	0.386922974	0.775320496	NA	0.253320892	0.054698886
1966	0.070521819	0.26543956	0.857416049	146	20.9288576	0.838417687	0.380300502	0.970030805	0.972501787	0.967858875	0.96258251	1.010242392	0.927426914	0.61454126	1.050443115	0.525678528	0.548332275	0.687316284	1.014986755	0.026974864
1974	0.403110902	0.249902132	0.475526072	1229	80.77285164	0.45735339	0.227655829	0.87337788	0.87461938	0.87687693	0.883720394	0.801290139	0.773390387	0.597799072	0.872651611	1.00648877	0.938485962	0.665022095	0.209793259	0.07661159
2046	0.451065993	0.459289277	0.85015492	464	160.0038976	0.466340485	0.226067714	0.862072408	0.868265391	0.86095396	0.883130023	0.795135714	0.835793607	0.878650879	1.238070435	1.456012085	0.893311768	0.825168213	1.352900147	0.066194938
2096	0.215194173	0.259793062	1.598462294	255	14.34268252	0.430126192	0.185422838	0.847922571	0.857346471	0.848795049	0.843493182	0.765246171	0.79098167	0.479268219	0.98895343	1.118879517	0.760373108	0.88598169	1.303765869	0.085796617
2103	0.0682169	0.203378491	0.275028503	233	22.20635489	0.411710619	0.201206927	0.850954161	0.850681685	0.841722635	0.840825739	0.793366031	0.777722492	0.162824661	0.516232788	0.614322327	0.189425308	0.275466858	0.247656265	0.094201534
2128	0.593562755	0.252491117	2.50441444	316	122.3609352	0.543466557	0.247654643	0.936487594	0.935151508	0.935013305	0.932051466	0.780028194	0.846114102	1.805914551	2.046693359	1.339775635	1.136098755	0.88264209	1.97625708	0.053035058
